,Escola,sexo,idade,endereco,tamfamilia,paisjuntos,EducacaoMae,EducacaoPai,TrabMae,TrabPai,razoes,responsavel,deslocamento,TempoDeEstudo,reprovacoes,ApoioEscolar,ApoioFamiliar,AulasParticulares,AtividadeExtra,Creche,Graduacao,internet,namoro,relacionamentoFamiliar,TempoLivre,PasseiosComAmigos,ConsumoT,ConsumoFS,saude,faltas,nota1,nota2,Nota Final
0,Escola1,F,18,U,GT3,A,4,4,em_casa,professor,curso preferido,mae,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6
1,Escola1,F,17,U,GT3,T,1,1,em_casa,outro,curso preferido,pai,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
2,Escola1,F,15,U,LE3,T,1,1,em_casa,outro,outro,mae,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
3,Escola1,F,15,U,GT3,T,4,2,saude,servicos,proximidade,mae,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
4,Escola1,F,16,U,GT3,T,3,3,outro,outro,proximidade,pai,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10
5,Escola1,M,16,U,LE3,T,4,3,servicos,outro,reputacao,mae,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
6,Escola1,M,16,U,LE3,T,2,2,outro,outro,proximidade,mae,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11
7,Escola1,F,17,U,GT3,A,4,4,outro,professor,proximidade,mae,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6
8,Escola1,M,15,U,LE3,A,3,2,servicos,outro,proximidade,mae,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19
9,Escola1,M,15,U,GT3,T,3,4,outro,outro,proximidade,mae,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
10,Escola1,F,15,U,GT3,T,4,4,professor,saude,reputacao,mae,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
11,Escola1,F,15,U,GT3,T,2,1,servicos,outro,reputacao,pai,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
12,Escola1,M,15,U,LE3,T,4,4,saude,servicos,curso preferido,pai,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
13,Escola1,M,15,U,GT3,T,4,3,professor,outro,curso preferido,mae,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11
14,Escola1,M,15,U,GT3,A,2,2,outro,outro,proximidade,outro,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
15,Escola1,F,16,U,GT3,T,4,4,saude,outro,proximidade,mae,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14
16,Escola1,F,16,U,GT3,T,4,4,servicos,servicos,reputacao,mae,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
17,Escola1,F,16,U,GT3,T,3,3,outro,outro,reputacao,mae,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
18,Escola1,M,17,U,GT3,T,3,2,servicos,servicos,curso preferido,mae,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5
19,Escola1,M,16,U,LE3,T,4,3,saude,outro,proximidade,pai,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
20,Escola1,M,15,U,GT3,T,4,3,professor,outro,reputacao,mae,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15
21,Escola1,M,15,U,GT3,T,4,4,saude,saude,outro,pai,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15
22,Escola1,M,16,U,LE3,T,4,2,professor,outro,curso preferido,mae,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16
23,Escola1,M,16,U,LE3,T,2,2,outro,outro,reputacao,mae,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12
24,Escola1,F,15,R,GT3,T,2,4,servicos,saude,curso preferido,mae,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
25,Escola1,F,16,U,GT3,T,2,2,servicos,servicos,proximidade,mae,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8
26,Escola1,M,15,U,GT3,T,2,2,outro,outro,proximidade,mae,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11
27,Escola1,M,15,U,GT3,T,4,2,saude,servicos,outro,mae,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15
28,Escola1,M,16,U,LE3,A,3,4,servicos,outro,proximidade,mae,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11
29,Escola1,M,16,U,GT3,T,4,4,professor,professor,proximidade,mae,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11
30,Escola1,M,15,U,GT3,T,4,4,saude,servicos,proximidade,mae,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12
31,Escola1,M,15,U,GT3,T,4,4,servicos,servicos,reputacao,mae,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17
32,Escola1,M,15,R,GT3,T,4,3,professor,em_casa,curso preferido,mae,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16
33,Escola1,M,15,U,LE3,T,3,3,outro,outro,curso preferido,mae,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12
34,Escola1,M,16,U,GT3,T,3,2,outro,outro,proximidade,mae,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15
35,Escola1,F,15,U,GT3,T,2,3,outro,outro,outro,pai,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6
36,Escola1,M,15,U,LE3,T,4,3,professor,servicos,proximidade,mae,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18
37,Escola1,M,16,R,GT3,A,4,4,outro,professor,reputacao,mae,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15
38,Escola1,F,15,R,GT3,T,3,4,servicos,saude,curso preferido,mae,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11
39,Escola1,F,15,R,GT3,T,2,2,em_casa,outro,reputacao,mae,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13
40,Escola1,F,16,U,LE3,T,2,2,outro,outro,proximidade,mae,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11
41,Escola1,M,15,U,LE3,T,4,4,professor,outro,proximidade,outro,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12
42,Escola1,M,15,U,GT3,T,4,4,servicos,professor,curso preferido,pai,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18
43,Escola1,M,15,U,GT3,T,2,2,servicos,servicos,curso preferido,pai,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11
44,Escola1,F,16,U,LE3,T,2,2,outro,em_casa,curso preferido,pai,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9
45,Escola1,F,15,U,LE3,A,4,3,outro,outro,curso preferido,mae,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
46,Escola1,F,16,U,LE3,A,3,3,outro,servicos,proximidade,mae,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11
47,Escola1,M,16,U,GT3,T,4,3,saude,servicos,reputacao,mae,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20
48,Escola1,M,15,U,GT3,T,4,2,professor,outro,proximidade,mae,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14
49,Escola1,F,15,U,GT3,T,4,4,servicos,professor,outro,pai,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7
50,Escola1,F,16,U,LE3,T,2,2,servicos,servicos,curso preferido,mae,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13
51,Escola1,F,15,U,LE3,T,4,2,saude,outro,outro,mae,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13
52,Escola1,M,15,U,LE3,A,4,2,saude,saude,outro,pai,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10
53,Escola1,F,15,U,GT3,T,4,4,servicos,servicos,curso preferido,mae,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11
54,Escola1,F,15,U,LE3,A,3,3,outro,outro,outro,mae,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13
55,Escola1,F,16,U,GT3,A,2,1,outro,outro,outro,mae,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10
56,Escola1,F,15,U,GT3,A,4,3,servicos,servicos,reputacao,mae,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15
57,Escola1,M,15,U,GT3,T,4,4,professor,saude,reputacao,mae,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15
58,Escola1,M,15,U,LE3,T,1,2,outro,em_casa,proximidade,pai,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9
59,Escola1,F,16,U,GT3,T,4,2,servicos,outro,curso preferido,mae,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16
60,Escola1,F,16,R,GT3,T,4,4,saude,professor,outro,mae,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11
61,Escola1,F,16,U,GT3,T,1,1,servicos,servicos,curso preferido,pai,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11
62,Escola1,F,16,U,LE3,T,1,2,outro,servicos,reputacao,pai,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9
63,Escola1,F,16,U,GT3,T,4,3,professor,saude,proximidade,mae,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9
64,Escola1,F,15,U,LE3,T,4,3,servicos,servicos,reputacao,pai,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10
65,Escola1,F,16,U,LE3,T,4,3,professor,servicos,curso preferido,mae,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15
66,Escola1,M,15,U,GT3,A,4,4,outro,servicos,reputacao,mae,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12
67,Escola1,F,16,U,GT3,T,3,1,servicos,outro,curso preferido,mae,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6
68,Escola1,F,15,R,LE3,T,2,2,saude,servicos,reputacao,mae,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8
69,Escola1,F,15,R,LE3,T,3,1,outro,outro,reputacao,pai,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16
70,Escola1,M,16,U,GT3,T,3,1,outro,outro,reputacao,pai,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15
71,Escola1,M,15,U,GT3,T,4,2,outro,outro,curso preferido,mae,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10
72,Escola1,F,15,R,GT3,T,1,1,outro,outro,reputacao,mae,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5
73,Escola1,M,16,U,GT3,T,3,1,outro,outro,reputacao,mae,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14
74,Escola1,F,16,U,GT3,T,3,3,outro,servicos,proximidade,mae,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11
75,Escola1,M,15,U,GT3,T,4,3,professor,outro,proximidade,mae,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10
76,Escola1,M,15,U,GT3,T,4,0,professor,outro,curso preferido,mae,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10
77,Escola1,F,16,U,GT3,T,2,2,outro,outro,reputacao,mae,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11
78,Escola1,M,17,U,GT3,T,2,1,outro,outro,proximidade,mae,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10
